"iid","pid","gender.iid","wave.iid","match.iid","samerace.iid","age_self.iid","gender.pid","wave.pid","match.pid","samerace.pid","age_self.pid","age_part","race_part","pref_part_att","pref_part_sin","pref_part_int","pref_part_fun","pref_part_amb","pref_part_sha","dec_part","part_att","part_sin","part_int","part_fun","part_amb","part_sha","part_lik","part_prob","part_met","age_self"
1,11,0,1,0,0,21,1,1,0,0,27,6,-2,20,0,0,5,-15,-10,-1,0,-1,1,1,2,1,0,-2,0,-6
1,12,0,1,0,0,21,1,1,0,0,22,1,-2,45,-20,-20,25,-15,-15,-1,0,0,3,-1,2,-1,1,-1,1,-1
1,13,0,1,1,1,21,1,1,1,1,22,1,0,4,-2,-1,3,-1,-3,0,5,2,1,2,5,3,3,NA,0,-1
1,14,0,1,1,0,21,1,1,1,0,23,2,-2,15,-15,-5,25,-10,-10,0,0,2,1,1,3,0,0,1,0,-2
1,15,0,1,1,0,21,1,1,1,0,24,3,-1,15,-10,0,-5,-5,5,0,3,1,2,-1,3,1,2,0,0,-3
1,16,0,1,0,0,21,1,1,0,0,25,4,-2,35,-20,10,-5,-15,-5,1,3,-2,1,4,1,3,1,1,0,-4
1,17,0,1,0,0,21,1,1,0,0,30,9,-2,20,-5,5,-5,-10,-5,-1,-4,0,0,1,2,0,-4,-4,0,-9
1,18,0,1,0,0,21,1,1,0,0,27,6,-2,18.33,-8.89,-8.89,-3.89,-3.89,7.22,0,2,-2,-2,0,3,0,1,-2,NA,-6
1,19,0,1,1,0,21,1,1,1,0,28,7,-2,35,-20,5,-5,-15,0,0,0,1,0,-1,0,1,-0.5,1,0,-7
1,20,0,1,0,0,21,1,1,0,0,24,3,-2,85,-20,-20,-15,-15,-15,-1,1,0,0,-2,-4,-2,0,0,0,-3
10,11,0,1,0,1,26,1,1,0,1,27,1,0,20,5,5,-20,-10,0,0,1,-2,-3,2,0,NA,0,0,0,-1
10,12,0,1,0,1,26,1,1,0,1,22,-4,0,45,-15,-15,0,-10,-5,0,0,0,0,0,0,NA,0,0,1,4
10,13,0,1,1,0,26,1,1,1,0,22,-4,2,4,3,4,-22,4,7,0,4,0,0,0,4,NA,3,4,0,4
10,14,0,1,0,1,26,1,1,0,1,23,-3,0,15,-10,0,0,-5,0,1,-3,-2,-3,-1,-2,NA,-3,6,0,3
10,15,0,1,0,0,26,1,1,0,0,24,-2,1,15,-5,5,-30,0,15,1,1,2,2,0,1,NA,0,5,0,2
10,16,0,1,0,1,26,1,1,0,1,25,-1,0,35,-15,15,-30,-10,5,0,NA,-2,1,3,1,NA,0,5,0,1
10,17,0,1,0,1,26,1,1,0,1,30,4,0,20,0,10,-30,-5,5,-1,2,-3,-4,-3,-5,NA,-4,5,0,-4
